rxn,lb,ub
RPI,-100.0,99.45813521827851
S7PI,0.0169051524335039,0.0176873711704801
SADH,-100.0,99.80277177385406
SADT2,0.1563451555953975,0.1635794062548029
SDPDS,0.2372088055751078,0.248184700233466
SDPTA,-0.248184700233466,-0.2372088055751078
SERAT,-99.8364205937461,100.0
SERDL,0.0,99.4411009020821
SGDS,-100.0,99.80277177385406
SGSAD,-100.0,99.80277177385406
SHK3Dr,0.2757149861181258,0.2884726012328381
SHKK,0.2757149861181259,0.2884726012328381
SHSL1,0.0979425498132258,0.1024375479794266
SOTA,-100.0,99.80277177385406
SPMS,0.0046958756759778,0.0049131586584678
SSALx,-100.0,100.0
SSALy,-100.0,99.7170689582786
SUCD,-46.64936008152763,46.98451143691568
SUCOAS,-96.9262946304326,100.0
SULR,-0.1635794062548029,-0.1563451555953875
TALA,-49.86460738496957,50.13539261503042
TDSK,0.0056350508111679,0.0058957903901598
TESTAKGDH,-100.0,99.25496578203754
TESTNADTRHD,-100.0,100.0
THDPS,0.2372088055751078,0.2481847002334101
THRAr,-99.62446068409044,91.57293332168447
THRD,-100.0,99.11007704624126
THRDL,-96.91838586879447,99.46278846992814
THRS,-100.0,99.64934084774907
TKT1,-49.84692001379919,50.15307998620081
TKT2,-50.15307998620081,49.84692001379919
TMAOR1,0.0,0.0
TMAOR2,0.0,0.0
TMDK1,0.0,100.0
TMDS,0.0165697327423783,0.0173364312663064
TPI,-100.0,92.16619906896256
TRDR,-99.76609223694962,100.0
TRE6PH,-91.06449320954206,91.30045003320862
TRE6PP,0.0,94.61744645699132
TRE6PS,-6.074427774383764,99.72867297428115
TREH,0.0,93.8285817482142
TREHe,-6.074427774383764,0.0
TRPAS1,-100.0,99.83642059374614
TRPAS2,-0.0379015096510357,100.0
TRPS1,0.0,100.0
TRPS2,0.0,99.99212896028725
TRPS3,-99.96209849034918,0.0379015096510357
TRSAR,-100.0,100.0
TYRTA,-0.0919462548936849,-0.0878799590794052
U23GAAT,0.0112701016223359,0.0117915807803203
UAAGDS,0.0185151669510514,0.019371882710454
UAGAAT,0.0112701016223359,0.0117915807803203
UAGCVT,0.018515166951019,0.0193718827104873
UAGDP,0.0483004355241751,0.0505353462014372
UAGPT3,0.0185151669510514,0.019371882710454
UAMAGS,0.0185151669510514,0.0193718827104873
UAMAS,0.018515166951019,0.0193718827104873
UAPGR,0.018515166951019,0.0193718827104873
UDCPDP,0.0185151669510514,0.019371882710454
UGMDDS,0.0185151669510514,0.019371882710454
UHGADA,0.0112701016223359,0.0117915807803203
UMPK,-98.7783302193395,100.0
UNK3,0.0046958756759778,0.0049131586584678
UPPRT,-99.99412411785056,100.0
