rxn,lb,ub
TYRTA,-0.0435050007717467,-0.0351915191089968
U23GAAT,0.0045131108475044,0.0055792672746057
UAAGDS,0.0074143963924009,0.0091659390939233
UAGAAT,0.0045131108475044,0.0055792672746057
UAGCVT,0.0074143963923773,0.0091659390939469
UAGDP,0.0193419036320603,0.0239111454626417
UAGPT3,0.0074143963924009,0.0091659390939233
UAMAGS,0.0074143963924009,0.0091659390939469
UAMAS,0.0074143963923773,0.0091659390939469
UAPGR,0.0074143963923773,0.0091659390939469
UDCPDP,0.0074143963924009,0.0091659390939233
UGMDDS,0.0074143963924009,0.0091659390939233
UHGADA,0.0045131108475044,0.0055792672746057
UMPK,-99.9056813560382,99.84593255056208
UNK3,0.0018804628531228,0.0023246946977479
UPPRT,-100.0,100.0
URIDK2r,-99.91231670353388,100.0
URIK2,-100.0,100.0
USHD,0.0022565554237525,0.0027896336373027
VALTA,-100.0,99.73866939092557
VPAMT,-99.88616278405136,99.7879203248759
XPPT,-100.0,100.0
biomass,0.2686375504505491,0.3320992425322231
EX_ac,-21.42339643527972,-11.62218664401248
EX_co2,7.80132813918901,27.910014458727236
EX_h,-100.0,100.0
EX_h2o,6.060068186342733,8.046983863107172
EX_nh3,-3.8546132623760094,-2.969546686396761
EX_o2,-55.29279898713247,0.0
EX_pi,-0.3169013848993316,-0.2563438902255033
EX_so4,-0.077398717366064,-0.0626083988695351
ABUTt2,-100.0,100.0
ACt2r,11.622186644012473,21.42339643527976
ALAabc,-100.0,100.0
ALARi,-100.0,100.0
ARBabc,-100.0,100.0
ARBt2r,-100.0,100.0
ARGabc,-99.82668856676425,99.83235240122718
ARGORNt7,-99.2262828411988,100.0
ASNabc,-100.0,100.0
ASNt2r,-100.0,100.0
ASPabc,-100.0,100.0
ASPt2,-100.0,100.0
ATPS4r,0.0,100.0
Cex,-2.329954687372058,-1.8771957341570271
CHLabc,0.0,99.2562028460139
CHLt2r,-100.0,0.0
CO2t,-100.0,92.19867186080975
CYTBD,0.0,100.0
CYTBO3,-100.0,100.0
DMSOR1e,0.0,0.0
DMSOR2e,0.0,0.0
FDH2,0.0,60.66470693833745
FDH3,-100.0,93.93993164734869
FORt,-100.0,92.19867186081116
FRUpts,0.0,0.0
FRUpts2,0.0,0.0
FUMt22,0.0,100.0
GALabc,-100.0,100.0
GALt2,-100.0,100.0
GLCDe,0.0,0.0
GLCNt2r,0.0,0.0
GLCpts,0.0,0.0
GLCt2,0.0,0.0
GLUabc,-100.0,100.0
GLUABUTt7,-100.0,100.0
GLUt2r,-100.0,100.0
GLUt4,-100.0,100.0
GLYBabc,-100.0,100.0
GLYBt2r,-100.0,100.0
GLYC3Pabc,0.0,0.3169013848999089
GLYC3Pt6,-0.3169013848992716,0.0
H2Ot,-100.0,100.0
HISabc,-100.0,100.0
HISt2r,-100.0,100.0
Ht,-100.0,0.0
HYD1,0.0,60.66470817121825
HYD2,-100.0,100.0
HYD3,-100.0,100.0
ILEabc,-100.0,100.0
ILEt2r,-100.0,0.0
Kabc,-100.0,100.0
Kt2r,-100.0,100.0
LEUabc,0.0,99.1909193462294
LEUt2r,-100.0,0.0
