,range
CRNCARtm,249.41964366582485
CRNCARtp,0.0
DCTPD,500.0
DCYTD,500.0
CRNt,0.0
4ABZt,19.714285714285722
CRNtim,249.41964366582934
DCYTt2,0.0
CRNtp,0.0
4ABZtm,0.0
CSNATm,249.4196436658293
DDPA,19.714285714285722
DDPAm,19.714285714285715
DESAT14,0.0
DESAT16,0.03150222014620671
DESAT18,0.06115136851910753
CSNATp,0.0
CSNATr,249.4196436658289
CSND,272.49999999999994
CSNt2,0.0
CSm,156.7142857142856
DESAT18_2,0.016677645959756376
DGDPtn,0.0
CSp,0.0
DGGH,0.0
4H2OGLTtm,0.0
DGK1,513.8
DGSNt2,0.0
CTPS1,272.5
CTPS2,181.66666666666666
CTPtm,420.4098375503734
DHAD1m,22.999999999999936
4H2OGLTtp,0.0
DHAD2m,19.714285714285715
DHAK,500.0
CYOOm,137.99999999999946
CYOR_u6m,275.9999999999989
DHAPtm,275.9999999999995
DHFR,27.6
CYSS,30.666666666666668
4HBZCOAFm,0.0
CYSTGL,500.0
CYSTL,228.55115974546462
CYSTLp,228.5511597454648
CYSTRS,0.0
CYSTS,228.55115974546462
DHFRim,0.0
DHFS,0.0
DHFtm,0.0
DHNPAm,0.0
DHNPTtm,0.0
DHORD4i,27.599999999999998
DHORDfum,27.599999999999998
CYSTtp,228.5511597454647
CYSt2r,30.666666666666668
CYTD,272.5
CYTDK2,500.0
DHORDi,27.6
DHORTS,27.599999999999994
4HBZFm,0.0
DHPSm,0.0
DHPTtm,0.0
DHQS,19.714285714285715
DHQTi,19.714285714285715
CYTDt2,0.0
CYTK1,490.5
CYTK2,513.8
DADA,225.00293269855132
DADK,13.799999999999997
DIAT,5.75
DINSt2,0.0
DADNt2,0.0
DIPS,0.0
DADPtn,0.0
4HBZtm,0.0
DAGCPT_SC,181.66666666666666
DAGPYP_SC,181.66666666666666
DKMPPD2,13.142857142857128
DMATT,6.418604651162812
DNMPPA,0.0
DNTPPA,0.0
DOLK,0.0
DOLPMMer,2.6733869386681093
DANNt2,0.0
DASYN_SC,529.4098375503745
DASYNm_SC,420.40983755037354
DB4PS,0.006551932341332922
DBTS,0.0
DCDPtn,0.0
DCMPDA,513.8
DOLPMTcer,2.6733869386681075
DOLPt2er,2.673386938668113
4HGLSDm,500.0
DPCOAK,152.6502737189768
DPCOAKm,0.0
DPGM,0.0
DPMVD,19.255813953488396
ECOAH4p,0.0
ECOAH5p,0.0
DPR,12.000000000000005
4HPRO_LTtm,0.0
DPRm,12.0
ECOAH6p,0.0
DRBK,0.0
ECOAH7p,0.0
ECOAH8p,0.0
DROPPRy,0.00327596617066645
4HTHRS,0.0
DRTPPD,0.00327596617066645
EHGLAT,0.0
EHGLATm,0.0
EHGLATp,0.0
ENO,265.0613916945581
EPGALURSe,0.0
EPISTAT_SC,0.0
DTMPK,13.800000000000006
DTTPt,13.799999999999999
DUMPtn,0.0
DURIK1,500.0
DURIPP,27.60000000000001
DURIt2,0.0
DUTPDP,272.5
EPISTESTH_SC,0.0
EPISTESTH_SCe,0.0
EPISTt,2.8163265306122445
DXHPScm,0.0
D_LACDcm,195.54026845208557
EPMGH,0.0
4MOPDC,18.399999999999995
ERGSTAT_SC,0.0
ERGSTESTH_SC,0.0
ERGSTESTH_SCe,0.0
ERGSTGLCT,0.0
D_LACDm,180.24404815817198
D_LACt2,46.0
D_LACt2m,1000.0
D_LACtm,1000.0
E4HGLUtm,0.0
ERGSTt,2.7878787878787863
ERGSTter,2.7878787878787876
ERGTETROLter,2.787878787878788
E4HGLUtp,0.0
E4Ptm,19.714285714285715
ETHAK,0.0
5AOPt2,0.0
ETHAPT_SC,0.0
ETHAt,0.0
ETOHt,46.0
ETOHtm,500.0
ECOAH11p,0.0
EX_ergst_e,2.787878787878787
EX_ergstest_SC_e,0.0
EX_13BDglcn_e,0.0
EX_etha_e,0.0
EX_2hb_e,30.666666666666664
etoh_EX,46.00000000000001
5AOPtm,0.0
EX_fe2_e,0.0
EX_fecost_e,2.8163265306122445
EX_2mbac_e,14.526315789473694
EX_2mbald_e,19.714285714285715
EX_2mbtoh_e,18.4
EX_2mppal_e,22.99999999999996
EX_2phetoh_e,13.8
EX_fecostest_SC_e,0.0
EX_fmn_e,0.0
EX_3c3hmp_e,18.400000000000002
6PGLter,5.575757575757573
EX_3mbald_e,18.400000000000002
EX_for_e,64.68196721868996
EX_fru_e,0.0
EX_3mop_e,19.714285714285715
8AONNt2,0.0
EX_4abut_e,30.666666666666618
EX_fum_e,34.5
EX_g3pc_e,9.469234406747084
EX_4abz_e,19.714285714285715
AABTN,11.04
EX_5aop_e,0.0
EX_g3pi_e,0.0
EX_gal_e,0.0
EX_8aonn_e,0.0
EX_Nbfortyr_e,6.0
EX_abt_e,0.0
EX_ac_e,68.99999999999994
EX_acald_e,55.20000000000003
EX_aces_e,27.59999999999999
EX_galur_e,0.0
EX_gam6p_e,23.0
EX_gcald_e,0.0
EX_glc__D_e,23.0
EX_gln__L_e,27.60000000000004
EX_glu__L_e,27.60000000000004
EX_glx_e,69.00000000000011
EX_ade_e,0.0
EX_adn_e,0.0
EX_akg_e,27.600000000000005
EX_ala__L_e,45.99999999999997
EX_gly_e,69.00000000000006
EX_glyc_e,39.42857142857143
AACTOOR,0.0
EX_gsn_e,0.0
EX_gthox_e,0.0
EX_gthrd_e,0.0
EX_alltn_e,0.0
EX_alltt_e,0.0
EX_amet_e,0.0
EX_arab__D_e,0.0
EX_arab__L_e,0.0
EX_gua_e,27.6
EX_arg__L_e,23.0
EX_h2o_e,295.71428571428567
AASAD1,19.71428571428574
EX_h_e,377.2679640812386
EX_hdca_e,0.0
EX_hdcea_e,0.0
EX_asn__L_e,34.50000000000004
EX_asp__L_e,34.500000000000064
EX_btd_RR_e,25.09090909090902
EX_btn_e,0.0
EX_hexc_e,0.0
AASAD2,19.71428571428557
EX_his__L_e,21.23076923076923
EX_hxan_e,27.599999999999962
EX_iamac_e,14.526315789473685
EX_iamoh_e,18.400000000000002
EX_ibutac_e,17.249999999999996
EX_chol_e,0.0
EX_cit_e,23.0
co2_EX,138.0
EX_crn_e,0.0
EX_csn_e,0.0
EX_cys__L_e,30.666666666666668
EX_cytd_e,0.0
EX_dad_2_e,0.0
EX_dann_e,0.0
EX_ibutoh_e,23.0
EX_id3acald_e,11.5
EX_ile__L_e,18.400000000000002
EX_ind3eth_e,11.499999999999993
EX_inost_e,0.0
EX_dca_e,0.0
EX_dcyt_e,0.0
EX_ddca_e,0.0
EX_ins_e,0.0
EX_k_e,0.0
EX_dgsn_e,0.0
EX_din_e,0.0
EX_lac__D_e,46.0
AATA,19.71428571428573
EX_lac__L_e,46.0
EX_lanost_e,3.2093023255813957
EX_lanostest_SC_e,0.0
EX_dttp_e,13.8
EX_duri_e,0.0
EX_leu__L_e,18.400000000000002
ABTA,91.99999999999999
EX_lys__L_e,19.71428571428572
EX_mal__L_e,34.49999999999999
EX_malt_e,0.0
EX_ribflv_e,0.0
EX_sbt__D_e,21.23076923076923
EX_man_e,0.0
ABTt,0.0
EX_melib_e,0.0
EX_met__L_e,18.399999999999995
EX_mmet_e,0.0
EX_na1_e,0.0
EX_nac_e,0.0
EX_sbt__L_e,0.0
EX_ser__L_e,46.00000000000002
EX_so3_e,169.18632878755605
EX_so4_e,169.18632878755642
EX_spmd_e,13.142857142857144
EX_sprm_e,0.0
EX_srb__L_e,0.0
EX_succ_e,34.49999999999994
EX_nadp_e,6.571428571428569
EX_nh4_e,208.08166237619344
EX_nmn_e,0.0
EX_sucr_e,0.0
o2_EX,138.0
EX_taur_e,0.0
ABUTDm,0.0
EX_thm_e,0.0
EX_oaa_e,34.50000000000003
EX_ocdca_e,0.0
EX_ocdcea_e,0.0
ABUTt2r,30.666666666666668
EX_ocdcya_e,0.0
EX_orn_e,25.09090909090909
EX_thmmp_e,0.0
EX_thmpp_e,0.0
EX_thr__L_e,34.5
EX_thym_e,27.599999999999994
EX_pacald_e,13.799999999999997
EX_pap_e,13.799999999999995
EX_thymd_e,0.0
ACACT1r,18.468336737985148
EX_tre_e,0.0
EX_trp__L_e,11.500000000000002
EX_pc_SC_e,0.0
EX_pectin_e,0.0
EX_pepd_e,0.0
EX_phe__L_e,13.799999999999999
EX_pheac_e,11.499999999999998
EX_pi_e,41.39999999999992
EX_pnto__R_e,12.0
EX_ttdca_e,6.900000000000001
EX_tyr__L_e,13.799999999999999
EX_ura_e,0.0
EX_urea_e,104.04083118809652
EX_uri_e,0.0
EX_val__L_e,23.000000000000004
EX_xan_e,27.599999999999984
EX_xtsn_e,0.0
EX_pro__L_e,25.090909090909115
EX_ptd1ino_SC_e,0.0
EX_ptrc_e,25.090909090909246
EX_pyr_e,46.00000000000001
EX_xyl__D_e,0.0
EX_xylt_e,0.0
EX_rib__D_e,0.0
ACACT1m,19.25581395348838
EX_zymst_e,2.9052631578947414
EX_zymstest_SC_e,0.0
FA100tp,0.0
ACACT4p,0.0
FA120ACPHi,0.0
FACOAL161,12.83700066302006
FACOAL161p,0.0
FA120ACPtm,0.0
ACACT5p,0.0
FA120tp,0.0
FA140ACPHi,0.0
FACOAL180,3.77558843030002
FACOAL181,18.122824465440075
FACOAL182,6.796059174540029
FA140ACPtm,0.0
FACOAL240p,0.0
FA140COAabcp,0.0
FA140tp,0.0
FA141ACPHi,0.0
FA141ACPtm,0.0
FACOAL260p,0.0
FACOAL80p,0.0
FADFMNtm,0.0
FALDH,0.0
FA141COAabcp,0.0
FAS161ACPm,0.0
FA141tp,0.0
FA160ACPHi,0.0
FA160ACPtm,0.0
FA160COAabcp,0.0
FAO141p_even,0.0
FAO141p_odd,0.0
FAO161p_even,0.0
FAO161p_odd,0.0
FAO181p_even,0.0
FA160tp,0.0
FA161ACPHi,0.0
FA161ACPtm,0.0
FAO181p_odd,0.0
FAS180,0.07041672738563863
FAO182p_eveneven,0.0
FAO182p_evenodd,0.0
FAO182p_oddodd,0.0
FAO240p,0.0
FAO80p,0.0
FAS100,6.8999999999999915
FA161COAabcp,0.0
FA161tp,0.0
FA180ACPH,0.0
FA180ACPtm,0.0
FA180COAabcp,0.0
FA181ACPH,0.0
FA181ACPtm,0.0
FA181COAabcp,0.0
FA182ACPH,0.0
FA182ACPtm,0.0
FA182COAabcp,0.0
FA240tp,0.0
FAS100ACPm,0.0
FAS100COA,6.8999999999999915
FAS120,6.8999999999999915
FAS120ACPm,0.0
FAS120COA,6.900000000000011
FAS140,6.90000000000001
FAS140ACPm,0.0
FAS140COA,6.900000000000011
FAS141,0.0
FA260tp,0.0
FA80tp,0.0
FACOAL100p,0.0
FAS141ACPm,0.0
FACOAL120p,0.0
FACOAL140,14.45117686060004
FACOAL140p,0.0
FACOAL141,0.0
FACOAL141p,0.0
FAS160,0.1519518854111151
FAS160ACPm,0.0
FAS160COA,0.1519518854111136
FAS161,0.03150222014620656
FACOAL160,20.45859425100574
FACOAL160p,0.0
FAS180ACPm,0.0
G3PDm,276.00000000000006
FAS180COA,0.07041672738563828
GLUK,386.3333333333333
G3PIt,0.0
FAS181,0.061151368519107
FAS181ACPm,0.0
FAS182ACPm,0.0
G3PT,500.0
FAS240_L,0.0
G5SADs,376.0
G5SADrm,376.0
FAS260,0.0
G5SD,84.38461538461488
G5SD2,91.41666666666664
GLUN,500.0
GLUPRT,27.599999999999998
G6PDA,500.0
FAS80ACPm_L,0.0
G6PDH2r,137.9999999999998
G6PDH2er,5.575757575757579
G6PI,1000.0
G6PI3,1000.0
G6Pter,5.575757575757576
GALIGH,0.0
GALKr,0.0
GALS3,0.0
GALT,1000.0
GLUSx,500.0
GLUTRS,0.0
GLUTRSm,0.0
GLUt2n,0.0
GLUt2r,27.600000000000026
GLUt5m,92.0
GLUt7,0.0
GLUt7m,92.00000000000001
GLXt,68.99999999999993
GLXtp,0.0
GLYAT,0.0
GLYC3Ptm,276.00000000000006
GALUi,1000.0
GALt2,0.0
GAM6Pt,23.0
GAPD,197.3269230769231
GLYCDy,500.0
FAS80COA_L,6.899999999999998
GLYCLm,110.71428571428574
GLYCt,500.0
GLYCt2,500.0
GARFT,27.599999999999994
GAT1_SC,31.68627230159541
GAT2_SC,30.871337725847525
GBEZ,500.0
GCALDt,0.0
GCALDtm,0.0
GCC2am,110.71428571428572
GCC2bim,110.71428571428572
GCC2cm_copy1,663.2857142857147
GCCam,110.71428571428592
GCCbim,110.71428571428572
GLYGS,500.0
GLYK,500.0
GLYOX,197.0
GLYOXm,0.0
GLYTRS,0.0
GLYt2m,221.4285714285714
GLYt2r,68.99999999999999
GCCcm,110.7142857142857
GDPMANNtg,0.0
GMPS2,109.0
GDPt3g,0.0
GND,138.00000000000003
FAS80_L,6.900000000000001
GNNUC,500.0
GDPtn,0.0
GF6PTA,500.0
GPDDA1,31.68627230159526
GGLGH,0.0
FBA,520.976744472501
GGTT,0.0
GHMT2r,127.19251868854822
GHMT2rm,110.71428571428547
GRTT,6.4186046511627906
GSNK,500.0
GSNt2,0.0
GK1,1000.0
GK2,1000.0
GLCGSD,272.5
GLCGSDv,15.625
GSNt2m,0.0
GTHOr,26.247749369823513
GTHOXti,0.0
GTHOm,0.0
GLCNtv,15.625
FBA2,0.0
GLCP,500.0
GLCS2,500.0
GTHPi,26.247749369823552
GTHPm,0.0
GTHRDabcv,0.0
GTHRDt2,0.0
GLCt1,23.0
GLCtv,363.3333333333333
FBA3,500.0
GLNS,500.0
GLNTRS,0.0
GTHS,0.0
GTMLT,0.0
GLNt2n,0.0
FBP,500.0
GLNt2r,27.599999999999994
GLNt6,500.0
GTPCI,0.0
GTPCII,0.003275966170666453
GTPH1,272.5
GLNt7,500.0
GTPt2m,500.0
GLPT,0.0
FBP26,500.0
GLU5K,91.41666666666679
GLUCYS,0.0
GLUDC,91.99999999999993
GUAD,109.00000000000003
GUAPRT,272.5
GUAt2r,27.599999999999984
GUAtm,0.0
H2O2tn,0.0
H2Ot,339.9299723344445
GLUDxi,500.0
GLUDy,500.0
H2Oter,3.2093023255813886
FCLTm,0.0
H2Otm,984.6666825716025
H2Otn,1000.0
H2Otp,228.55115974546496
HCITSm,19.71428571428571
H2Otv,186.875
HCITSn,0.0
FDH,68.99999999999999
HACD10p,0.0
HACD4p,0.0
FDNG,69.00000000000001
HACD5p,0.0
HACD6p,0.0
HCO3E,1000.0
HCO3Em,0.0
HCO3En,1000.0
HACD7p,0.0
HACD8p,0.0
HCO3tn,1000.0
HACNHm,19.714285714285715
FE2t,0.0
HBZOPT6m,0.0
FE2utm,500.0
HCYSMT,181.66666666666666
HCYSt2p,228.5511597454646
HDCAt,0.0
HDCEAt,0.0
FECOSTAT_SC,0.0
HEMEOMOm,0.0
HEMEOSm,0.0
HETZK,181.66666666666677
FECOSTESTH_SC,0.0
HEX1,386.3333333333334
HEX4,0.0
FECOSTESTH_SCe,0.0
