,range
ECOAH11p,1000.0
EX_ergst_e,1000.0
EX_ergstest_SC_e,10.0
EX_13BDglcn_e,1000.0
EX_etha_e,1000.0
EX_2hb_e,1000.0
etoh_EX,1000.0
5AOPtm,1000.0
EX_fe2_e,0.0
EX_fecost_e,1000.0
EX_2mbac_e,1000.0
EX_2mbald_e,1000.0
EX_2mbtoh_e,1000.0
EX_2mppal_e,1000.0
EX_2phetoh_e,1000.0
EX_fecostest_SC_e,10.0
EX_fmn_e,1000.0
EX_3c3hmp_e,1000.0
6PGLter,1000.0
EX_3mbald_e,1000.0
EX_for_e,1000.0
EX_fru_e,1000.0
EX_3mop_e,1000.0
8AONNt2,0.0
EX_4abut_e,1000.0
EX_fum_e,1000.0
EX_g3pc_e,1000.0
EX_4abz_e,1000.0
AABTN,1000.0
EX_5aop_e,1000.0
EX_g3pi_e,500.0
EX_gal_e,1000.0
EX_8aonn_e,0.0
EX_Nbfortyr_e,500.0
EX_abt_e,1000.0
EX_ac_e,1000.0
EX_acald_e,1000.0
EX_aces_e,1000.0
EX_galur_e,1000.0
EX_gam6p_e,1000.0
EX_gcald_e,1000.0
EX_glc__D_e,1000.0
EX_gln__L_e,1000.0
EX_glu__L_e,1000.0
EX_glx_e,1000.0
EX_ade_e,1000.0
EX_adn_e,1000.0
EX_akg_e,1000.0
EX_ala__L_e,1000.0
EX_gly_e,1000.0
EX_glyc_e,1000.0
AACTOOR,1000.0
EX_gsn_e,1000.0
EX_gthox_e,1000.0
EX_gthrd_e,1000.0
EX_alltn_e,1000.0
EX_alltt_e,1000.0
EX_amet_e,1000.0
EX_arab__D_e,0.0
EX_arab__L_e,1000.0
EX_gua_e,1000.0
EX_arg__L_e,1000.0
EX_h2o_e,1000.0
AASAD1,1000.0
EX_h_e,1000.0
EX_hdca_e,1000.0
EX_hdcea_e,1000.0
EX_asn__L_e,1000.0
EX_asp__L_e,1000.0
EX_btd_RR_e,1000.0
EX_btn_e,0.0
EX_hexc_e,35.725190839694655
AASAD2,1000.0
EX_his__L_e,1000.0
EX_hxan_e,1000.0
EX_iamac_e,1000.0
EX_iamoh_e,1000.0
EX_ibutac_e,1000.0
EX_chol_e,1000.0
EX_cit_e,1000.0
co2_EX,1000.0
EX_crn_e,0.0
EX_csn_e,1000.0
EX_cys__L_e,1000.0
EX_cytd_e,1000.0
EX_dad_2_e,1000.0
EX_dann_e,0.0
EX_ibutoh_e,1000.0
EX_id3acald_e,1000.0
EX_ile__L_e,1000.0
EX_ind3eth_e,1000.0
EX_inost_e,1000.0
EX_dca_e,40.0
EX_dcyt_e,1000.0
EX_ddca_e,120.0
EX_ins_e,1000.0
EX_k_e,0.0
EX_dgsn_e,1000.0
EX_din_e,1000.0
EX_lac__D_e,1000.0
AATA,1000.0
EX_lac__L_e,1000.0
EX_lanost_e,1000.0
EX_lanostest_SC_e,10.0
EX_dttp_e,1000.0
EX_duri_e,1000.0
EX_leu__L_e,1000.0
ABTA,1000.0
EX_lys__L_e,1000.0
EX_mal__L_e,1000.0
EX_malt_e,1000.0
EX_ribflv_e,1000.0
EX_sbt__D_e,1000.0
EX_man_e,1000.0
ABTt,1000.0
