,0
EX_ptd1ino_SC_e,20
EX_ptrc_e,2
EX_pyr_e,3
EX_xyl__D_e,0
EX_xylt_e,20
EX_rib__D_e,0
ACACT1m,0
EX_zymst_e,15
EX_zymstest_SC_e,0
FA100tp,0
ACACT4p,0
FA120ACPHi,0
FACOAL161,4
FACOAL161p,0
FA120ACPtm,0
ACACT5p,0
FA120tp,0
FA140ACPHi,20
FACOAL180,19
FACOAL181,0
FACOAL182,0
FA140ACPtm,20
FACOAL240p,0
FA140COAabcp,0
FA140tp,0
FA141ACPHi,0
FA141ACPtm,0
FACOAL260p,0
FACOAL80p,0
FADFMNtm,0
FALDH,0
FA141COAabcp,0
FAS161ACPm,0
FA141tp,0
FA160ACPHi,0
FA160ACPtm,0
FA160COAabcp,0
FAO141p_even,0
FAO141p_odd,0
FAO161p_even,0
FAO161p_odd,0
FAO181p_even,0
FA160tp,0
FA161ACPHi,0
FA161ACPtm,0
FAO181p_odd,0
FAS180,20
FAO182p_eveneven,0
FAO182p_evenodd,0
FAO182p_oddodd,0
FAO240p,0
FAO80p,0
FAS100,0
FA161COAabcp,0
FA161tp,0
FA180ACPH,20
FA180ACPtm,20
FA180COAabcp,0
FA181ACPH,0
FA181ACPtm,0
FA181COAabcp,0
FA182ACPH,0
FA182ACPtm,0
FA182COAabcp,0
FA240tp,0
FAS100ACPm,0
FAS100COA,1
FAS120,20
FAS120ACPm,0
FAS120COA,1
FAS140,0
FAS140ACPm,0
FAS140COA,1
FAS141,20
FA260tp,0
FA80tp,0
FACOAL100p,0
FAS141ACPm,0
FACOAL120p,0
FACOAL140,11
FACOAL140p,0
FACOAL141,20
FACOAL141p,0
FAS160,3
FAS160ACPm,20
FAS160COA,17
FAS161,4
FACOAL160,3
FACOAL160p,0
FAS180ACPm,20
G3PDm,11
FAS180COA,20
GLUK,10
G3PIt,0
FAS181,0
FAS181ACPm,0
FAS182ACPm,0
G3PT,2
FAS240_L,0
G5SADs,1
G5SADrm,0
FAS260,0
G5SD,5
G5SD2,16
GLUN,3
GLUPRT,1
G6PDA,18
FAS80ACPm_L,0
G6PDH2r,6
G6PDH2er,1
G6PI,11
G6PI3,14
G6Pter,1
