,Status,stoichiometric optimization,Failed to balance,Biomass reactions,atom bag unbalanced rxns,Balance warnings,T-S optimization,Organism
iSFxv_1172.sbml,TF applied,147.7296368225331,0.0,0.0,228.0,0.0,1.700414363385372,Escherichia coli
iECH74115_1262.sbml,TF applied,152.7954456711944,0.0,0.0,231.0,0.0,3.3778976416255024,Escherichia coli
iSDY_1059.sbml,TF applied,92.71831481267184,0.0,0.0,233.0,0.0,7.623518396985058,Escherichia coli
iAPECO1_1312.sbml,TF applied,196.35902137294855,1.0,0.0,243.0,0.0,48.86940783636839,Escherichia coli
iECDH1ME8569_1439.sbml,TF applied,196.3751199447546,0.0,0.0,234.0,0.0,2.9149982061654622,Escherichia coli
iECSP_1301.sbml,TF applied,196.3590213729481,0.0,0.0,233.0,0.0,7.812700118081246,Escherichia coli
iETEC_1333.sbml,TF applied,196.35902137294903,0.0,0.0,242.0,0.0,2.578675336322871,Escherichia coli
iSBO_1134.sbml,TF applied,438.9815627746715,0.0,0.0,231.0,0.0,7.232943312589907,Escherichia coli
iYL1228.sbml,TF applied,53.976297699637016,0.0,0.0,394.0,0.0,30.79663231912677,Escherichia coli
ic_1306.sbml,TF applied,17.5923156765125,1.0,0.0,242.0,0.0,17.61358069936076,Escherichia coli
iECO111_1330.sbml,TF applied,196.35902137294812,1.0,0.0,244.0,0.0,8.00820111987099,Escherichia coli
iECD_1391.sbml,TF applied,196.35902137294727,0.0,0.0,239.0,0.0,50.256237990438215,Escherichia coli
iECNA114_1301.sbml,TF applied,245.08334429427703,0.0,0.0,230.0,0.0,4.932935427350728,Escherichia coli
iECO103_1326.sbml,TF applied,196.35902137294823,1.0,0.0,235.0,0.0,7.583069948743372,Escherichia coli
iML1515.sbml,TF applied,185.18664267265015,0.0,0.0,216.0,0.0,118.74451273844271,Escherichia coli
iB21_1397.sbml,TF applied,196.35902137294832,0.0,0.0,239.0,0.0,5.999639735969309,Mycobacterium tuberculosis
iEC1344_C.sbml,TF applied,187.0227678925213,0.0,0.0,260.0,0.0,6.61211186545204,Escherichia coli
iECB_1328.sbml,TF applied,196.3590213729493,0.0,0.0,237.0,0.0,2.6907829604059668,Escherichia coli
iEC042_1314.sbml,TF applied,196.3590213729489,0.0,0.0,234.0,0.0,5.408956498001881,Escherichia coli
iSF_1195.sbml,TF applied,6.49726140431808,0.0,0.0,228.0,0.0,6.515507758368746,Clostridium ljungdahlii
iEC1356_Bl21DE3.sbml,TF applied,188.31334788477884,0.0,0.0,275.0,0.0,9.722422230702758,Trypanosoma cruzi
iECIAI1_1343.sbml,TF applied,243.6216146066362,1.0,0.0,530.0,0.0,121.81069757992567,Trypanosoma cruzi
iRC1080.sbml,TF applied,9.707364744142016,12.0,5.0,382.0,6.0,infeasible,Trypanosoma cruzi
iJN1463.sbml,TF applied,50.79924051344312,0.0,4.0,340.0,1.0,infeasible,Trypanosoma cruzi
iSynCJ816.sbml,Not loaded,,,,,,,Helicobacter pylori
RECON1.sbml,TF applied,0.0,0.0,2.0,456.0,28.0,infeasible,Synechococcus elongatus
iECW_1372.sbml,TF applied,123.272536990958,1.0,4.0,244.0,0.0,0,Pseudomonas putida
iEK1008.sbml,TF applied,429.2356212084408,0.0,3.0,154.0,1.0,0,Synechocystis sp.
iSB619.sbml,TF applied,112.49782127643638,0.0,17.0,52.0,0.0,infeasible,Pseudomonas putida
iCN718.sbml,Not loaded,,,,,,,Escherichia coli
iJB785.sbml,TF applied,0.1072210563012052,3.0,11.0,124.0,1.0,0,Escherichia coli
iMM904.sbml,TF applied,1.6693547915907891,0.0,3.0,101.0,4.0,0,Phaeodactylum tricornutum
iHN637.sbml,TF applied,40.44781370383373,0.0,3.0,45.0,0.0,0,Escherichia coli
iLJ478.sbml,TF applied,275.7016250766425,0.0,3.0,49.0,0.0,infeasible,Thermotoga maritima
iIS312_Amastigote.sbml,TF applied,55.335443458243866,0.0,3.0,108.0,0.0,3.351582310784951,Escherichia coli
iNJ661.sbml,TF applied,15.503875968992087,0.0,3.0,99.0,0.0,0,Mus musculus
iAB_RBC_283.sbml,TF applied,0.0,0.0,2.0,126.0,1.0,0,Saccharomyces cerevisiae
iAF987.sbml,TF applied,14.981851759226686,0.0,4.0,194.0,0.0,infeasible,Saccharomyces cerevisiae
iAM_Pf480.sbml,TF applied,4.504504504504505,0.0,3.0,106.0,0.0,infeasible,Lactococcus lactis
e_coli_core.sbml,TF applied,7.091938981872093,0.0,3.0,1.0,0.0,0.8214783735549682,Mycobacterium tuberculosis
STM_v1_0.sbml,TF applied,101.47678027777263,0.0,5.0,255.0,2.0,0,Escherichia coli
iAM_Pb448.sbml,TF applied,8.547081598988028,0.0,3.0,105.0,0.0,infeasible,Yersinia pestis
Recon3D.sbml,TF applied,500.0,0.0,5.0,1357.0,388.0,infeasible,Chlamydomonas reinhardtii
iND750.sbml,TF applied,0.1670136839878412,0.0,3.0,88.0,0.0,0,Shigella flexneri
iIS312_Trypomastigote.sbml,TF applied,76.46793465069213,0.0,4.0,109.0,0.0,6.668630021289977,Staphylococcus aureus
iY75_1357.sbml,TF applied,98.91848473643944,0.0,4.0,234.0,0.0,infeasible,Shigella boydii
iYO844.sbml,TF applied,0.3732629391459267,0.0,3.0,84.0,0.0,infeasible,Shigella boydii
iYS1720.sbml,TF applied,291.54349297150395,0.0,6.0,614.0,2.0,0,Shigella dysenteriae
iLF82_1304.sbml,TF applied,123.27253699095762,1.0,4.0,241.0,0.0,infeasible,Shigella flexneri
iCN900.sbml,Not loaded,,,,,,,Shigella flexneri
iCHOv1.sbml,TF applied,500.0,1.0,4.0,814.0,38.0,infeasible,Shigella flexneri
iIT341.sbml,TF applied,19.21018959343956,0.0,3.0,22.0,0.0,0,Shigella sonnei
iIS312_Epimastigote.sbml,TF applied,55.33544345824388,0.0,3.0,108.0,0.0,3.35158249925034,Synechocystis sp.
iYS854.sbml,TF applied,500.0,1.0,15.0,184.0,18.0,108.46763783357086,Escherichia coli
iMM1415.sbml,TF applied,500.0,0.0,3.0,1204.0,0.0,0,Escherichia coli
iIS312.sbml,TF applied,55.33544345824387,0.0,3.0,108.0,0.0,3.3515851159574397,Escherichia coli
iAM_Pv461.sbml,TF applied,4.504504504504505,0.0,3.0,106.0,0.0,infeasible,Escherichia coli
iAF692.sbml,TF applied,39.23977190776283,0.0,3.0,81.0,0.0,0,Escherichia coli
iAM_Pk459.sbml,TF applied,4.504504504504505,0.0,3.0,106.0,0.0,infeasible,Klebsiella pneumoniae
iLB1027_lipid.sbml,Not loaded,,,,,,,Bacillus subtilis
iNF517.sbml,TF applied,0.1608205143968001,0.0,4.0,78.0,0.0,0,Salmonella pan-reactome
iAT_PLT_636.sbml,TF applied,0.0,0.0,2.0,326.0,1.0,0,Staphylococcus aureus
iJN746.sbml,TF applied,130.65285927250176,0.0,3.0,54.0,0.0,0,Escherichia coli
iAM_Pc455.sbml,TF applied,4.504504504504505,0.0,3.0,105.0,0.0,infeasible,Homo sapiens
iJR904.sbml,TF applied,13.507344920303682,0.0,3.0,30.0,0.0,0,Homo sapiens
iUTI89_1310.sbml,TF applied,98.910375530294,1.0,4.0,244.0,0.0,infeasible,Salmonella enterica
