208: [-16.118095650958324, -6.907755278982137]
209: [-16.118095650958324, -6.907755278982137]
210: [-16.118095650958324, -6.907755278982137]
211: [-16.118095650958324, -6.907755278982137]
212: [-16.118095650958324, -6.907755278982137]
213: [-16.118095650958324, -6.907755278982137]
214: [-16.118095650958324, -6.907755278982137]
215: [-16.118095650958324, -6.907755278982137]
216: [-16.118095650958324, -6.907755278982137]
217: [-16.118095650958324, -6.907755278982137]
218: [-16.118095650958324, -6.907755278982137]
219: [-16.118095650958324, -6.907755278982137]
220: [-16.118095650958324, -6.907755278982137]
221: [-16.118095650958324, -6.907755278982137]
222: [-16.118095650958324, -6.907755278982139]
223: [-16.118095650958324, -6.907755278982137]
224: [-16.118095650958324, -6.907755278982137]
225: [-13.309848475509128, -4.183865890107413]
226: [-16.118095650958324, -6.907755278982139]
227: [-16.118095650958324, -6.907755278982137]
228: [-16.118095650958324, -6.907755278982137]
229: [-16.118095650958324, -6.907755278982139]
230: [-16.118095650958324, -6.907755278982137]
231: [-9.186041310176137, -6.46613672335107]
232: [-9.279923100614246, -2.734657703576957]
233: [-16.118095650958324, -7.971501688471257]
234: [-11.83314965123725, -6.720953863392417]
235: [-16.118095650958324, -3.7599500304821163]
236: [-16.118095650958324, -6.907755278982137]
237: [-16.118095650958324, -6.907755278982137]
238: [-16.118095650958317, -6.907755278982139]
239: [-7.66457471322186, -3.911561185934673]
240: [-16.118095650958324, -5.19694018989626]
241: [-16.118095650958317, -6.907755278982137]
242: [-16.118095665122055, -6.907755278982137]
243: [-16.118095650958317, -6.907755278982137]
244: [-16.118095650958324, -6.907755278982137]
245: [-16.118095650958324, -6.907755278982137]
246: [-8.89731630185667, -4.041284661962976]
247: [-10.74033950102087, -8.441141389738235]
248: [-16.118095650958324, -6.907755278982137]
249: [-16.118095650958317, -6.907755278982137]
250: [-16.118095650958317, -6.907755278982137]
251: [-16.118095650958324, -7.215001523367846]
252: [-16.118095650958324, -6.907755278982137]
253: [-16.118095650958324, -6.907755278982139]
254: [-16.118095650958324, -6.907755278982137]
255: [-16.118095650958324, -6.907755278982137]
256: [-12.048328133660576, -10.635512328162633]
257: [-16.118095650958324, -6.907755278982137]
258: [-16.118095650958324, -6.907755278982137]
259: [-16.118095650958324, -6.907755278982139]
260: [-16.118095650958324, -6.907755278982137]
261: [-7.693024569127459, -4.565715937784745]
262: [-6.73856842956161, -4.543802366063595]
263: [-16.118095650958324, -6.907755278982137]
264: [-5.046456340680265, -2.647138325560398]
265: [-16.118095650958324, -6.907755278982137]
266: [-16.118095650958324, -6.907755278982137]
267: [-16.118095650958324, -6.907755278982139]
268: [-16.118095650958324, -6.907755278982137]
269: [-16.118095650958324, -6.907755278982137]
270: [-16.118095650958324, -6.907755278982137]
271: [-16.118095650958324, -6.907755278982137]
272: [-16.118095650958324, -6.907755278982137]
273: [-16.118095650958324, -6.907755278982139]
274: [-12.815115304149032, -11.700140764015146]
275: [-16.118095650958324, -6.907755278982137]
276: [-16.118095650958324, -6.907755278982137]
277: [-16.118095650958324, -6.892565652778423]
278: [-16.118095650958324, -6.907755278982137]
279: [-16.118095650958324, -8.663638321354725]
280: [-16.118095650958324, -7.391645279245111]
281: [-16.118095650958324, -6.907755278982137]
282: [-16.118095650958317, -6.907755278982137]
283: [-16.118095650958324, -6.907755278982139]
284: [-16.118095650958324, -6.907755278982137]
285: [-16.118095650958324, -6.907755278982137]
286: [-16.118095650958324, -6.907755278982137]
287: [-16.118095650958324, -6.907755278982137]
288: [-16.118095650958324, -6.907755278982137]
289: [-16.118095650958324, -6.907755278982137]
290: [-16.118095650958324, -6.907755278982137]
291: [-16.118095650958324, -6.907755278982137]
292: [-16.118095650958324, -6.907755278982137]
293: [-16.118095650958324, -6.907755278982139]
294: [-16.118095650958324, -6.907755278982139]
295: [-16.118095650958324, -6.907755278982137]
296: [-16.118095650958324, -6.907755278982137]
297: [-16.118095650958324, -6.907755278982137]
298: [-16.118095650958324, -6.907755278982137]
299: [-16.118095650958324, -6.907755278982137]
300: [-16.118095650958324, -6.907755278982137]
301: [-16.118095650958324, -6.907755278982137]
302: [-16.118095650958324, -6.907755278982137]
303: [-16.118095650958324, -6.907755278982137]
304: [-16.118095650958324, -6.907755278982137]
305: [-16.118095650958324, -6.907755278982137]
306: [-16.118095650958324, -6.907755278982137]
307: [-16.118095650958324, -6.907755278982137]
308: [-16.118095650958324, -6.907755278982137]
309: [-16.118095650958324, -6.907755278982137]
310: [-16.118095650958324, -6.907755278982137]
311: [-16.118095650958324, -6.907755278982137]
312: [-16.118095650958324, -6.907755278982137]
313: [-16.118095650958324, -6.907755278982137]
314: [-16.118095650958324, -6.907755278982139]
315: [-16.118095650958324, -6.907755278982137]
316: [-16.118095650958317, -6.907755278982137]
317: [-16.118095650958324, -6.907755278982137]
318: [-16.118095650958324, -7.364520502155415]
319: [-16.118095650958324, -6.907755278982137]
320: [-16.118095650958324, -6.907755278982137]
321: [-16.118095650958324, -6.907755278982137]
322: [-16.118095650958324, -6.907755278982137]
323: [-16.118095650958317, -6.907755278982137]
324: [-16.118095650958324, -6.907755278982137]
325: [-16.118095650958324, -6.907755278982137]
326: [-16.118095650958324, -6.907755278982139]
327: [-16.11809566726275, -6.907755278982137]
328: [-16.118095650958324, -6.907755278982137]
329: [-1.093256418727151e-08, 1.093256418727151e-08]
330: [-16.118095650958324, -6.907755278982137]
331: [-16.118095650958324, -6.907755278982137]
332: [-16.118095650958324, -6.907755278982137]
333: [-16.118095650958324, -6.907755278982137]
334: [-16.118095650958324, -6.907755278982137]
335: [-16.118095650958324, -6.907755278982137]
336: [-16.118095650958324, -7.831671062418749]
337: [-16.118095650958324, -6.907755278982137]
338: [-16.118095650958324, -8.808841300797653]
339: [-16.118095650958324, -6.907755278982137]
340: [-16.118095650958324, -6.907755278982137]
341: [-13.875599179062476, -12.874330802797687]
342: [-16.118095650958324, -6.907755278982137]
343: [-16.118095650958324, -6.907755278982137]
344: [-16.118095650958324, -6.907755278982137]
345: [-16.118095650958324, -6.451986819158975]
346: [-16.118095650958324, -6.907755278982137]
347: [-16.118095650958324, -6.907755278982137]
348: [-16.118095650958324, -6.907755278982137]
349: [-16.118095650958324, -6.907755278982138]
350: [-16.118095650958317, -6.907755278982137]
351: [-16.118095650958324, -6.907755278982137]
352: [-16.118095650958324, -6.907755278982137]
353: [-16.118095650958324, -6.907755278982137]
354: [-16.118095650958324, -6.907755278982139]
355: [-16.118095650958324, -6.907755278982137]
356: [-16.118095650958324, -7.595645383005461]
357: [-16.118095650958324, -6.290088521103797]
358: [-16.118095650958324, -6.907755278982137]
359: [-16.118095650958324, -6.907755278982137]
360: [-16.118095650958324, -6.907755278982137]
361: [-16.118095650958324, -6.907755278982137]
362: [-16.118095650958324, -6.907755278982137]
363: [-16.118095650958324, -6.907755278982137]
364: [-16.118095650958324, -6.907755278982137]
365: [-16.118095650958324, -6.907755278982137]
366: [-16.118095650958324, -6.907755278982137]
367: [-16.118095650958324, -6.907755278982137]
368: [-16.118095650958324, -6.907755278982137]
369: [-16.118095650958324, -6.907755278982137]
370: [-16.118095650958324, -6.907755278982137]
371: [-16.118095650958317, -6.907755278982137]
372: [-16.118095650958324, -6.907755278982137]
373: [-16.118095650958324, -6.907755278982137]
374: [-11.086914531457822, -9.397555671021095]
