125: [-16.118095650958338, -6.907755278982137]
126: [-16.066117713445237, -5.653541860166342]
127: [-16.118095650958338, -6.907755278982137]
128: [-16.118095650958338, -6.907755278982137]
129: [-16.118095650958338, -6.907755278982137]
130: [-16.118095650958338, -6.907755278982128]
131: [-7.570650235886577, -7.208338486422278]
132: [-16.11809565095832, -6.907755278982137]
133: [-14.467009447813334, -6.907755278982123]
134: [-16.118095650958324, -4.604587257132716]
135: [-16.118095650958338, -6.907755278982137]
136: [-16.11809565095832, -6.907755278982137]
137: [-16.118095650958338, -6.907755278982123]
138: [-16.118095650958338, -6.907755278982137]
139: [-16.118095650958338, -6.907755278982137]
140: [-16.118095650958324, -6.907755278982123]
141: [-16.118095650958324, -6.907755278982128]
142: [-16.118095650958338, -6.907755278982123]
143: [-16.118095650958338, -6.907755278982123]
144: [-16.118095650958324, -6.907755278982123]
145: [-16.118095650958324, -6.907755278982137]
146: [-8.282374956005624, -6.02051405323827]
147: [-16.118095650958338, -6.907755278982123]
148: [-16.118095650958338, -6.907755278982137]
149: [-16.118095650958338, -6.907755278982137]
150: [-16.118095650958338, -6.907755278982123]
151: [-16.118095650958338, -6.907755278982128]
152: [-11.008187613447815, -9.384514585191834]
153: [-16.118095650958324, -6.907755278982137]
154: [-6.067768547693667, -3.352652161757547]
155: [-16.118095650958338, -4.359456901172543]
156: [-16.118095650958338, -6.907755278982123]
157: [-16.118095650958338, -6.907755278982128]
158: [-16.118095650958324, -6.907755278982137]
159: [-16.118095650958338, -6.907755278982137]
160: [-14.014730803106021, -10.863813188483974]
161: [-16.118095650958338, -6.907755278982137]
162: [-16.118095650958338, -6.907755278982137]
163: [-16.118095650958338, -6.907755278982137]
164: [-16.118095650958338, -6.907755278982128]
165: [-16.118095650958338, -6.4734455426550275]
166: [-16.118095650958338, -6.907755278982137]
167: [-12.535104502193917, -11.022628297602601]
168: [-16.118095650958338, -6.907755278982128]
169: [-16.118095650958338, -9.42195596357263]
170: [-16.118095650958338, -6.907755278982128]
171: [-16.118095650958338, -6.907755278982123]
172: [-16.118095650958338, -6.907755278982137]
173: [-16.118095650958338, -6.111557116427141]
174: [-16.118095650958324, -6.907755278982123]
175: [-16.118095650958338, -6.907755278982123]
176: [-9.745743040666548, -8.647581608633644]
177: [-16.118095650958338, -6.907755278982137]
178: [-16.118095650958338, -6.907755278982137]
179: [-16.118095650958338, -6.907755278982128]
180: [-16.118095650958338, -9.771984684701728]
181: [-11.300842558354164, -9.13474753118757]
182: [-10.274412635363012, -9.68033465364149]
183: [-16.11809565095832, -6.907755278982137]
184: [-14.759080256018473, -6.907755278982128]
185: [-9.330187029576416, -8.280030289046493]
186: [-16.118095650958338, -6.907755278982128]
187: [-16.118095664855673, -6.907755278982137]
188: [-16.118095650958338, -6.907755278982137]
189: [-16.118095650958324, -6.907755278982123]
190: [-16.118095650958324, -6.907755278982123]
191: [-16.118095650958338, -6.907755278982128]
192: [-7.104879308992706, -6.873156953957097]
193: [-16.118095650958324, -6.907755278982123]
194: [-16.118095650958324, -6.907755278982137]
195: [-16.118095650958338, -6.907755278982137]
196: [-16.118095650958338, -6.907755278982123]
197: [-16.118095650958338, -6.907755278982137]
198: [-16.118095650958338, -6.907755278982137]
199: [-16.118095650958324, -6.907755278982123]
200: [-12.771776205709175, -9.93416838039849]
201: [-16.11809565095833, -6.907755278982128]
202: [-16.118095650958338, -6.907755278982137]
203: [-16.118095650958338, -6.907755278982137]
204: [-16.118095650958338, -6.907755278982123]
205: [-16.118095650958324, -6.907755278982123]
206: [-16.118095650958324, -6.907755278982128]
207: [-16.118095650958338, -6.907755278982123]
208: [-16.118095650958338, -6.907755278982123]
209: [-16.118095650958338, -6.907755278982128]
210: [-16.118095650958324, -6.907755278982128]
211: [-16.118095650958324, -6.907755278982123]
212: [-16.11809565095832, -6.907755278982137]
213: [-16.11809565095832, -6.907755278982137]
214: [-16.118095650958338, -6.907755278982128]
215: [-16.118095650958338, -6.907755278982123]
216: [-16.118095650958338, -6.907755278982123]
217: [-16.118095650958324, -6.907755278982123]
218: [-16.118095650958324, -6.907755278982137]
219: [-16.118095650958338, -6.907755278982123]
220: [-16.118095650958338, -6.907755278982128]
221: [-16.095400857815477, -6.907755278982137]
222: [-16.118095650958338, -6.907755278982128]
223: [-16.118095650958338, -6.907755278982137]
224: [-16.118095650958338, -6.907755278982123]
225: [-8.11236081165348, -7.6645660867042125]
226: [-16.118095650958338, -6.907755278982129]
227: [-16.118095650958324, -6.907755278982123]
228: [-16.118095650958324, -6.907755278982123]
229: [-16.11809571371809, -6.907755278982128]
230: [-16.118095650958338, -6.907755278982123]
231: [-8.128701583822258, -7.980742575026132]
